group,chem1,chem2,percent
CNS,Cyanide,Ethylbenzene,5.451348183
CNS,Cyanide,Xylene,4.719645018
CNS,Ethylbenzene,Xylene,36.13468382
carc_CNS,Acetaldehyde,Acrylonitrile,2.173913043
carc_CNS,Acetaldehyde,Benzenamine,2.218114603
carc_CNS,Acetaldehyde,Styrene,2.33592881
carc_CNS,Acetaldehyde,Benzene,7.458363505
carc_CNS,Acetaldehyde,Tribromomethane,0.200803213
carc_CNS,Acetaldehyde,Vinyl chloride,2.222222222
carc_CNS,Acrylonitrile,Benzenamine,8.163265306
carc_CNS,Acrylonitrile,Styrene,4.202279202
carc_CNS,Acrylonitrile,Benzene,2.026342452
carc_CNS,Acrylonitrile,Tribromomethane,0
carc_CNS,Acrylonitrile,Vinyl chloride,4.109589041
carc_CNS,Benzenamine,Styrene,1.559020045
carc_CNS,Benzenamine,Benzene,2.580645161
carc_CNS,Benzenamine,Tribromomethane,0
carc_CNS,Benzenamine,Vinyl chloride,6.741573034
carc_CNS,Styrene,Benzene,8.77914952
carc_CNS,Styrene,Tribromomethane,0.076687117
carc_CNS,Styrene,Vinyl chloride,1.114413076
carc_CNS,Benzene,Tribromomethane,0.112739572
carc_CNS,Benzene,Vinyl chloride,2.368137783
carc_CNS,Tribromomethane,Vinyl chloride,2.173913043
carc,Creosotes,"3,3'-Dichlorobenzidine",1.538461538
carc,Creosotes,"3,3'-Dichlorobenzidine dihydrochloride  ",0
carc,Creosotes,"4,4'-Methylene bis(2-chloroaniline) ",10.52631579
carc,Creosotes,N-Nitroso- diphenylamine,1.428571429
carc,"3,3'-Dichlorobenzidine","3,3'-Dichlorobenzidine dihydrochloride  ",0
carc,"3,3'-Dichlorobenzidine","4,4'-Methylene bis(2-chloroaniline) ",7.692307692
carc,"3,3'-Dichlorobenzidine",N-Nitroso- diphenylamine,0
carc,"3,3'-Dichlorobenzidine dihydrochloride  ","4,4'-Methylene bis(2-chloroaniline) ",0
carc,"3,3'-Dichlorobenzidine dihydrochloride  ",N-Nitroso- diphenylamine,0
carc,"4,4'-Methylene bis(2-chloroaniline) ",N-Nitroso- diphenylamine,5.555555556
carc_metals,Cadmium,Nickel,2.586206897
carc_metals,Cadmium,Arsenic,12.27154047
carc_metals,Cadmium,Chromium,1.059220029
carc_metals,Cadmium,Lead,1.497797357
carc_metals,Nickel,Arsenic,5.719501065
carc_metals,Nickel,Chromium,32.202369
carc_metals,Nickel,Lead,13.70187358
carc_metals,Arsenic,Chromium,1.388888889
carc_metals,Arsenic,Lead,3.374012922
carc_metals,Chromium,Lead,6.883011895
cardio,Barium carbonate,Cobalt,1.674277017
cardio,Barium carbonate,Molybdenum,5.027932961
cardio,Barium carbonate,Naphthalene,1.059803179
cardio,Barium carbonate,"2,5-Furandione",2.127659574
cardio,Cobalt,Molybdenum,9.72972973
cardio,Cobalt,Naphthalene,6.323060574
cardio,Cobalt,"2,5-Furandione",1.468624833
cardio,Molybdenum,Naphthalene,4.415954416
cardio,Molybdenum,"2,5-Furandione",1.84501845
cardio,Naphthalene,"2,5-Furandione",2.476999292
edcs,Nonylphenol,Bisphenol A,5.054151625
edcs,Nonylphenol,Decabromodiphenyl ethers,0.505050505
edcs,Bisphenol A,Decabromodiphenyl ethers,0
